datetime,Sequence,frequency11,humidity1,state1,temperature1,timestamp
46:41.1,400.00,5896.64,0,3,0,1.6564E+12
46:42.1,401.00,5888.31,0,3,0,1.6564E+12
46:43.1,402.00,5920.1,0,3,0,1.6564E+12
46:44.1,403.00,5896.64,0,3,0,1.6564E+12
46:45.1,404.00,5928.1,0,3,0,1.6564E+12
46:46.1,405.00,5914.22,0,3,0,1.6564E+12
46:47.1,406.00,5928.1,0,3,0,1.6564E+12
46:48.1,407.00,5920.1,0,3,0,1.6564E+12
46:49.1,408.00,5919.68,0,3,0,1.6564E+12
46:50.1,409.00,5928.1,0,3,0,1.6564E+12
46:51.1,410.00,5920.1,0,3,0,1.6564E+12
46:52.1,411.00,5920.1,0,3,0,1.6564E+12
46:53.1,412.00,5896.64,0,3,0,1.6564E+12
46:54.1,413.00,5888.31,0,3,0,1.6564E+12
46:55.1,414.00,5928.1,0,3,0,1.6564E+12
46:56.1,415.00,5914.64,0,3,0,1.6564E+12
46:57.1,416.00,5920.1,0,3,0,1.6564E+12
46:58.1,417.00,5951.81,0,3,0,1.6564E+12
46:59.1,418.00,5928.1,0,3,0,1.6564E+12
47:00.1,419.00,5928.1,0,3,0,1.6564E+12
47:01.1,420.00,5920.1,0,3,0,1.6564E+12
47:02.1,421.00,5928.1,0,3,0,1.6564E+12
47:03.2,422.00,5951.81,0,3,0,1.6564E+12
47:04.2,423.00,5920.1,0,3,0,1.6564E+12
47:05.2,424.00,5928.53,0,3,0,1.6564E+12
47:06.2,425.00,5914.64,0,3,0,1.6564E+12
47:07.2,426.00,5951.81,0,3,0,1.6564E+12
47:08.2,427.00,5928.1,0,3,0,1.6564E+12
47:09.2,428.00,5920.1,0,3,0,1.6564E+12
47:10.2,429.00,5928.1,0,3,0,1.6564E+12
47:11.2,430.00,5928.1,0,3,0,1.6564E+12
47:12.2,431.00,5951.81,0,3,0,1.6564E+12
47:13.2,432.00,5951.81,0,3,0,1.6564E+12
47:14.2,433.00,5928.1,0,3,0,1.6564E+12
47:15.2,434.00,5928.1,0,3,0,1.6564E+12
47:16.2,435.00,5946.29,0,3,0,1.6564E+12
47:17.2,436.00,5928.1,0,3,0,1.6564E+12
